50.84.161.66 - - [17/May/2016:20:15:36 -0400] "GET /LMMPUI/LMMP_CLIENT/history/history.css HTTP/1.1" 200 365 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 384 692
50.84.161.66 - - [17/May/2016:20:15:36 -0400] "GET /LMMPUI/LMMP_CLIENT/history/history.js HTTP/1.1" 200 24650 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 368 24988
50.84.161.66 - - [17/May/2016:20:15:36 -0400] "GET /LMMPUI/LMMP_CLIENT/swfobject.js HTTP/1.1" 200 25574 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 362 25912
50.84.161.66 - - [17/May/2016:20:15:37 -0400] "GET /favicon.ico HTTP/1.1" 404 209 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 390 453
50.84.161.66 - - [17/May/2016:20:15:37 -0400] "GET /LMMPUI/LMMP_CLIENT/LMMP_WB.swf HTTP/1.1" 200 987822 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 406 988175
50.84.161.66 - - [17/May/2016:20:15:39 -0400] "GET /LMMPUI/LMMP_CLIENT/assets/image/background.jpg HTTP/1.1" 200 69719 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 470 70051
50.84.161.66 - - [17/May/2016:20:15:40 -0400] "GET /LMMPUI/LMMP_CLIENT/assets/image/space.jpg HTTP/1.1" 200 25415 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 465 25747
50.84.161.66 - - [17/May/2016:20:15:40 -0400] "GET /LMMPUI/LMMP_CLIENT/config/config.xml?1463530540643 HTTP/1.1" 200 12127 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 474 12464
50.84.161.66 - - [17/May/2016:20:15:40 -0400] "GET /LMMPUI/LMMP_CLIENT/config/ldap.xml HTTP/1.1" 200 492 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 458 825
50.84.161.66 - - [17/May/2016:20:15:40 -0400] "GET /LMMPUI/LMMP_CLIENT/assets/image/NASA_logo.png HTTP/1.1" 200 14512 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" 469 14843
