120.155.50.158 - - [05/Jul/2016:00:19:12 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=168,-74,172,-70 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 455
120.155.50.158 - - [05/Jul/2016:00:19:13 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=164,-74,168,-70 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 455
120.155.50.158 - - [05/Jul/2016:00:20:45 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=116,30,120,34 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 456
120.155.50.158 - - [05/Jul/2016:00:20:47 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=124,38,128,42 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:47 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=128,30,132,34 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:48 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=120,18,124,22 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:48 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=128,34,132,38 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:48 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=124,22,128,26 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:48 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=128,26,132,30 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:49 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=112,22,116,26 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:49 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=116,18,120,22 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:49 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=124,18,128,22 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:50 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=112,18,116,22 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:50 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=120,14,124,18 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:50 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=108,22,112,26 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:50 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=116,14,120,18 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:51 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=120,10,124,14 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:52 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=128,22,132,26 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:52 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=120,22,124,26 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:52 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=124,34,128,38 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:53 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=120,38,124,42 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
120.155.50.158 - - [05/Jul/2016:00:20:53 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=116,38,120,42 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 319 455
