127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2399 "-" "Java/1.5.0_21" 815 2577
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7689 "-" "Java/1.5.0_21" 1115 7867
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:08:27 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
75.62.149.154 - - [08/Oct/2014:20:08:27 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_K_Clr_Global_halfppd&iPlanetDirectoryPro=AQIC5wM2LY4Sfcxe0rcxIcZVovxbaTN0%2BnmoeV6E9aLIx1k%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 7781 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 327 8089
75.62.149.154 - - [08/Oct/2014:20:08:28 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=http://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_K_Clr_Global_halfppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 310 982
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2399 "-" "Java/1.5.0_21" 815 2576
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7689 "-" "Java/1.5.0_21" 1115 7867
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:08:29 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1366 1551
75.62.149.154 - - [08/Oct/2014:20:08:29 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_K_Clr_Global_halfppd&iPlanetDirectoryPro=AQIC5wM2LY4SfcwCoXj2Q%2FGTtMpSoHOYko6jvLy2chPmZbI%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 7781 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 327 8089
127.0.0.1 - - [08/Oct/2014:20:08:40 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:08:44 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:09:10 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:09:14 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
75.62.149.154 - - [08/Oct/2014:20:09:18 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/abstract?label=LP_GRS_K_Clr_Global_halfppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 306 979
75.62.149.154 - - [08/Oct/2014:20:09:18 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/html?label=LP_GRS_K_Clr_Global_halfppd HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 655 432
75.62.149.154 - - [08/Oct/2014:20:09:19 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/html?label=LP_GRS_K_Clr_Global_halfppd HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 655 432
127.0.0.1 - - [08/Oct/2014:20:09:21 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2385 "-" "Java/1.5.0_21" 815 2563
